"Sample.ID","Marker","Mean_LR","Mean_Distance","Site","Interpretation"
"I","E",2.79404784057759,0,"Benguela","Recrudescence"
"J","E",0.528053400611568,4.54,"Benguela","Reinfection/Error"
"K","E",1.65263096391315,0,"Benguela","Recrudescence"
"L","E",0.398806227573471,10.75,"Benguela","Reinfection/Error"
"M","E",0.803198883558503,2.32,"Benguela","Reinfection/Error"
"N","E",0.364901507690363,2.14,"Benguela","Reinfection/Error"
"O","E",0.548745351481198,2.4,"Benguela","Reinfection/Error"
"P","E",2.19802990667535,2.08,"Benguela","Recrudescence"
"Q","E",0.294713187930581,2.58,"Benguela","Reinfection/Error"
"R","E",0.0243115868603164,3,"Benguela","Reinfection/Error"
"S","E",2.35000397484267e-09,30,"Benguela","Reinfection/Error"
"A","F",0.00765732068995961,3,"Benguela","Reinfection/Error"
"B","F",0.296998912624652,7.59,"Benguela","Reinfection/Error"
"C","F",5.95262658816759,0,"Benguela","Recrudescence"
"D","F",1,0,"Benguela","Reinfection/Error"
"E","F",1.3261879341936,0,"Benguela","Recrudescence"
"F","F",0.734489343449242,0,"Benguela","Reinfection/Error"
"G","F",0.0001578774621691,11.97,"Benguela","Reinfection/Error"
"H","F",0.803142400531621,0,"Benguela","Reinfection/Error"
"I","F",1.2349669037119,0,"Benguela","Recrudescence"
"J","F",3.27057045587705,0,"Benguela","Recrudescence"
"K","F",0.532556490102907,0.45,"Benguela","Reinfection/Error"
"L","F",0.409366151346743,2.11,"Benguela","Reinfection/Error"
"M","F",1,0.06,"Benguela","Reinfection/Error"
"N","F",1.14037278499242,0,"Benguela","Recrudescence"
"O","F",1.22936392235964,0,"Benguela","Recrudescence"
"P","F",0.710361666731314,0,"Benguela","Reinfection/Error"
"Q","F",0.663171025809146,0,"Benguela","Reinfection/Error"
"R","F",1.23685715667704,0,"Benguela","Recrudescence"
"S","F",1.3261879341936,0,"Benguela","Recrudescence"
"A","G",5.90575543388045e-05,12,"Benguela","Reinfection/Error"
"B","G",0.402567022681701,14.83,"Benguela","Reinfection/Error"
"C","G",6.26171829832547,0,"Benguela","Recrudescence"
"D","G",0.980928233364912,4.34,"Benguela","Reinfection/Error"
"E","G",0.0319966614388274,3,"Benguela","Reinfection/Error"
"F","G",0.139129622780418,2.89,"Benguela","Reinfection/Error"
"G","G",0.113037543006126,8.12,"Benguela","Reinfection/Error"
"H","G",0.207616247367939,21.08,"Benguela","Reinfection/Error"
"I","G",0.0279970787454754,3,"Benguela","Reinfection/Error"
"J","G",8.43687071532905e-06,12,"Benguela","Reinfection/Error"
"K","G",0.0139985393944018,3,"Benguela","Reinfection/Error"
"L","G",5.48463964419579e-06,15,"Benguela","Reinfection/Error"
"M","G",0.283394737357901,2.56,"Benguela","Reinfection/Error"
"N","G",5.92840294104275e-06,12,"Benguela","Reinfection/Error"
"O","G",0.504419138649741,2.33,"Benguela","Reinfection/Error"
"P","G",0.812819166941297,0,"Benguela","Reinfection/Error"
"Q","G",3.40082817120594e-06,15,"Benguela","Reinfection/Error"
"R","G",1.8387129761788e-06,15,"Benguela","Reinfection/Error"
"S","G",0.0559941574909507,3,"Benguela","Reinfection/Error"
"A","A",0.631537659418805,3.40666666666667,"Lunda Sul","Reinfection/Error"
"B","A",4.90353626117849,2.26666666666667,"Lunda Sul","Recrudescence"
"C","A",1,7.08,"Lunda Sul","Reinfection/Error"
"D","A",0.810210497526778,2.86,"Lunda Sul","Reinfection/Error"
"E","A",0.619794769856393,2.74,"Lunda Sul","Reinfection/Error"
"F","A",5.67754982419523,0,"Lunda Sul","Recrudescence"
"G","A",4.34522895797444,0,"Lunda Sul","Recrudescence"
"H","A",1.90288090341814,0,"Lunda Sul","Recrudescence"
"I","A",0.0898297246396337,6.72666666666667,"Lunda Sul","Reinfection/Error"
"J","A",1,9.11333333333333,"Lunda Sul","Reinfection/Error"
"K","A",0.981714343464157,3.48666666666667,"Lunda Sul","Reinfection/Error"
"L","A",13.5559094030705,0,"Lunda Sul","Recrudescence"
"M","A",1.4552911314809,2.08666666666667,"Lunda Sul","Recrudescence"
"A","B",0.762721915237314,2.38,"Lunda Sul","Reinfection/Error"
"B","B",1.2363256167048,0,"Lunda Sul","Recrudescence"
"C","B",0.102104591300733,41.0333333333333,"Lunda Sul","Reinfection/Error"
"D","B",1.23362579947818,0,"Lunda Sul","Recrudescence"
"E","B",0.508536258070778,2.14,"Lunda Sul","Reinfection/Error"
"F","B",3.95561058543801,0,"Lunda Sul","Recrudescence"
"G","B",2.61156182288082,1.83333333333333,"Lunda Sul","Recrudescence"
"H","B",2.69095007010377,0,"Lunda Sul","Recrudescence"
"I","B",1.5687458372684,0,"Lunda Sul","Recrudescence"
"J","B",0.2565030793627,19.46,"Lunda Sul","Reinfection/Error"
"K","B",0.106473761302666,2,"Lunda Sul","Reinfection/Error"
"L","B",5.73629289006925,0.453333333333333,"Lunda Sul","Recrudescence"
"M","B",3.50040509191517,0.506666666666667,"Lunda Sul","Recrudescence"
"A","C",0.389962275116096,3.1,"Lunda Sul","Reinfection/Error"
"B","C",3.15484589942702,0,"Lunda Sul","Recrudescence"
"C","C",1,4.97,"Lunda Sul","Reinfection/Error"
"D","C",0.534937009866922,3.76,"Lunda Sul","Reinfection/Error"
"E","C",1,3.19,"Lunda Sul","Reinfection/Error"
"F","C",3.15165408034264,0,"Lunda Sul","Recrudescence"
"G","C",3.32071115947362,2.97,"Lunda Sul","Recrudescence"
"H","C",1,0.74,"Lunda Sul","Reinfection/Error"
"I","C",1,3.19,"Lunda Sul","Reinfection/Error"
"J","C",1,5.94,"Lunda Sul","Reinfection/Error"
"K","C",0.553946446636665,3.7,"Lunda Sul","Reinfection/Error"
"L","C",2.30000910890161,0,"Lunda Sul","Recrudescence"
"M","C",1.09406887069531,0.48,"Lunda Sul","Recrudescence"
"A","D",0.443269962830824,4.76,"Lunda Sul","Reinfection/Error"
"B","D",2.48233940265151,0,"Lunda Sul","Recrudescence"
"C","D",1,7.28,"Lunda Sul","Reinfection/Error"
"D","D",0.434302779662706,6.59,"Lunda Sul","Reinfection/Error"
"E","D",0.616969831603499,9.72,"Lunda Sul","Reinfection/Error"
"F","D",2.74735979900989,0,"Lunda Sul","Recrudescence"
"G","D",2.36062098874681,2.6,"Lunda Sul","Recrudescence"
"H","D",2.92332832975262,0,"Lunda Sul","Recrudescence"
"I","D",0.226171907707733,15.56,"Lunda Sul","Reinfection/Error"
"J","D",0.298040901956811,8.61,"Lunda Sul","Reinfection/Error"
"K","D",4.39968886331095,0,"Lunda Sul","Recrudescence"
"L","D",4.16482824956,0,"Lunda Sul","Recrudescence"
"M","D",1.16272466735836,0,"Lunda Sul","Recrudescence"
"A","E",0.663211551567434,3.31,"Lunda Sul","Reinfection/Error"
"B","E",8.27132342854716,0,"Lunda Sul","Recrudescence"
"C","E",1,6.23,"Lunda Sul","Reinfection/Error"
"D","E",0.401535060185286,4.24,"Lunda Sul","Reinfection/Error"
"E","E",1,3.01,"Lunda Sul","Reinfection/Error"
"F","E",2.00611766550573,0,"Lunda Sul","Recrudescence"
"G","E",1.37741417892304,0,"Lunda Sul","Recrudescence"
"H","E",1.03008045728136,0,"Lunda Sul","Recrudescence"
"I","E",0.64681698960224,6.57,"Lunda Sul","Reinfection/Error"
"J","E",0.701659449398065,4.96,"Lunda Sul","Reinfection/Error"
"K","E",0.382840743447888,2.7,"Lunda Sul","Reinfection/Error"
"L","E",2.0661671622164,0,"Lunda Sul","Recrudescence"
"M","E",2.05643190906131,0,"Lunda Sul","Recrudescence"
"A","F",0.653924600262179,0.78,"Lunda Sul","Reinfection/Error"
"B","F",3.9584011766347,0.67,"Lunda Sul","Recrudescence"
"C","F",1,1.21,"Lunda Sul","Reinfection/Error"
"D","F",0.543143339952733,1.58,"Lunda Sul","Reinfection/Error"
"E","F",1,0.07,"Lunda Sul","Reinfection/Error"
"F","F",1,0.4,"Lunda Sul","Reinfection/Error"
"G","F",1.2676967481764,0,"Lunda Sul","Recrudescence"
"H","F",0.957257972360994,0.22,"Lunda Sul","Reinfection/Error"
"I","F",1,0.36,"Lunda Sul","Reinfection/Error"
"J","F",1,0.96,"Lunda Sul","Reinfection/Error"
"K","F",0.888748734688431,0,"Lunda Sul","Reinfection/Error"
"L","F",1.38909366658864,0,"Lunda Sul","Recrudescence"
"M","F",1.50628121492238,0,"Lunda Sul","Recrudescence"
"A","G",0.340115686277853,2.14,"Lunda Sul","Reinfection/Error"
"B","G",7.53438323573775,0,"Lunda Sul","Recrudescence"
"C","G",0.372311398717861,16.55,"Lunda Sul","Reinfection/Error"
"D","G",0.00974328707553021,3,"Lunda Sul","Reinfection/Error"
"E","G",1.47169557297042e-09,24,"Lunda Sul","Reinfection/Error"
"F","G",5.44313658097894,0.52,"Lunda Sul","Recrudescence"
"G","G",3.78658972575633,0,"Lunda Sul","Recrudescence"
"H","G",0.565095790447568,0,"Lunda Sul","Reinfection/Error"
"I","G",4.33241287177803e-06,15,"Lunda Sul","Reinfection/Error"
"J","G",1.29862100726445e-06,15,"Lunda Sul","Reinfection/Error"
"K","G",4.31023785470336e-05,9,"Lunda Sul","Reinfection/Error"
"L","G",8.47617456755461,0,"Lunda Sul","Recrudescence"
"M","G",1.78690821327107,0,"Lunda Sul","Recrudescence"
"A","A",3.95026387343234,0,"Zaire","Recrudescence"
"B","A",5.41787241797054e-10,10,"Zaire","Reinfection/Error"
"C","A",0.781728693061367,3.38666666666667,"Zaire","Reinfection/Error"
"D","A",1,10.0733333333333,"Zaire","Reinfection/Error"
"E","A",0.00029015504038196,4,"Zaire","Reinfection/Error"
"F","A",0.296124308269962,1.78666666666667,"Zaire","Reinfection/Error"
"G","A",0.406993927139899,8.31333333333333,"Zaire","Reinfection/Error"
"H","A",1.37160762501943,1.40666666666667,"Zaire","Recrudescence"
"I","A",7.04323414155755e-10,10,"Zaire","Reinfection/Error"
"J","A",0.767876541976665,4.63333333333333,"Zaire","Reinfection/Error"
"K","A",3.36276636465197,0,"Zaire","Recrudescence"
"L","A",0.378084184841587,4.65333333333333,"Zaire","Reinfection/Error"
"M","A",4.00735078295165,0,"Zaire","Recrudescence"
"N","A",8.5667266254495,0,"Zaire","Recrudescence"
"O","A",8.54285136315775,0,"Zaire","Recrudescence"
"P","A",1.25109622139681e-24,28,"Zaire","Reinfection/Error"
"Q","A",8.32294204789546,0,"Zaire","Recrudescence"
"R","A",26.1310747460821,0,"Zaire","Recrudescence"
"S","A",2.65005332813619,3.38,"Zaire","Recrudescence"
"T","A",0.510479838431522,1.84,"Zaire","Reinfection/Error"
"U","A",26.1310747460821,0,"Zaire","Recrudescence"
"V","A",7.75029479911789,0,"Zaire","Recrudescence"
"W","A",1.17387235605759e-09,10,"Zaire","Reinfection/Error"
"X","A",0.27921783978448,3.42,"Zaire","Reinfection/Error"
"Y","A",0.556423680323359,6.23333333333333,"Zaire","Reinfection/Error"
"Z","A",4.35517914842104,0,"Zaire","Recrudescence"
"A1","A",0.000362694680680418,4,"Zaire","Reinfection/Error"
"B1","A",52.2621493471367,0,"Zaire","Recrudescence"
"C1","A",5.10646787511736e-06,6,"Zaire","Reinfection/Error"
"D1","A",0.891781684364629,5.16,"Zaire","Reinfection/Error"
"E1","A",3.52161705514280e-09,10,"Zaire","Reinfection/Error"
"F1","A",8.04033070654889,0,"Zaire","Recrudescence"
"G1","A",8.80404267450382e-10,10,"Zaire","Reinfection/Error"
"H1","A",8.90085618343032,0,"Zaire","Recrudescence"
"I1","A",3.57462420311605,1.04666666666667,"Zaire","Recrudescence"
"J1","A",3.82985090810933e-06,6,"Zaire","Reinfection/Error"
"K1","A",0.301336654862828,4.86666666666667,"Zaire","Reinfection/Error"
"L1","A",3.39347398576175,0,"Zaire","Recrudescence"
"A","B",10.812947715406,0,"Zaire","Recrudescence"
"B","B",0.0694457982089728,2,"Zaire","Reinfection/Error"
"C","B",0.318770403698759,1.60666666666667,"Zaire","Reinfection/Error"
"D","B",0.195015650077651,12.3666666666667,"Zaire","Reinfection/Error"
"E","B",0.306811329966155,9.70666666666667,"Zaire","Reinfection/Error"
"F","B",0.806354249622399,1.44666666666667,"Zaire","Reinfection/Error"
"G","B",0.232420068613018,1.78666666666667,"Zaire","Reinfection/Error"
"H","B",7.481085676342,0,"Zaire","Recrudescence"
"I","B",1.39211115251177e-22,26,"Zaire","Reinfection/Error"
"J","B",0.610668526813633,1.44,"Zaire","Reinfection/Error"
"K","B",7.40982504632265,1.97333333333333,"Zaire","Recrudescence"
"L","B",0.466554617764965,3.14,"Zaire","Reinfection/Error"
"M","B",2.20414624051073,0,"Zaire","Recrudescence"
"N","B",13.1832449166127,0,"Zaire","Recrudescence"
"O","B",14.8550010067764,0,"Zaire","Recrudescence"
"P","B",3.57206376029929e-18,20,"Zaire","Reinfection/Error"
"Q","B",10.473593554152,0,"Zaire","Recrudescence"
"R","B",5.85921997569907,0,"Zaire","Recrudescence"
"S","B",1.26537702144336,6.27333333333333,"Zaire","Recrudescence"
"T","B",1.63987505947683e-11,12,"Zaire","Reinfection/Error"
"U","B",0.0595249699092786,2,"Zaire","Reinfection/Error"
"V","B",4.82528691694837,0,"Zaire","Recrudescence"
"W","B",6.59162247214878,0,"Zaire","Recrudescence"
"X","B",3.90623937993672,0,"Zaire","Recrudescence"
"Y","B",0.383288325333251,5.14,"Zaire","Reinfection/Error"
"Z","B",2.09445767173633,0.153333333333333,"Zaire","Recrudescence"
"A1","B",3.60443658386636e-05,14.6866666666667,"Zaire","Reinfection/Error"
"B1","B",17.5776599052228,0,"Zaire","Recrudescence"
"C1","B",7.72359986144799e-22,24,"Zaire","Reinfection/Error"
"D1","B",0.455933744764925,3.12666666666667,"Zaire","Reinfection/Error"
"E1","B",35.1553197448223,0,"Zaire","Recrudescence"
"F1","B",15.0665656370659,0,"Zaire","Recrudescence"
"G1","B",1.62273583495479e-13,14,"Zaire","Reinfection/Error"
"H1","B",0.00868136884526225,2,"Zaire","Reinfection/Error"
"I1","B",2.09497066346517,0,"Zaire","Recrudescence"
"J1","B",2.47155195185717e-21,24,"Zaire","Reinfection/Error"
"K1","B",0.49302682268332,1.56666666666667,"Zaire","Reinfection/Error"
"L1","B",2.97589627777206,0,"Zaire","Recrudescence"
"A","C",1.45894465842074,0,"Zaire","Recrudescence"
"B","C",2.60129312846907e-28,33,"Zaire","Reinfection/Error"
"C","C",0.406691199532491,2.3,"Zaire","Reinfection/Error"
"D","C",1,10.14,"Zaire","Reinfection/Error"
"E","C",1.35100022200126e-09,9,"Zaire","Reinfection/Error"
"F","C",0.503056324031544,2.47,"Zaire","Reinfection/Error"
"G","C",0.436486771993857,5.91,"Zaire","Reinfection/Error"
"H","C",2.68439175303395,3.37,"Zaire","Recrudescence"
"I","C",2.70200044400109e-09,9,"Zaire","Reinfection/Error"
"J","C",0.673775019219568,7.18,"Zaire","Reinfection/Error"
"K","C",2.62401471081367,0,"Zaire","Recrudescence"
"L","C",0.235004505823788,2.76,"Zaire","Reinfection/Error"
"M","C",0.51316669125325,0.31,"Zaire","Reinfection/Error"
"N","C",3.26262815046432,0,"Zaire","Recrudescence"
"O","C",3.03827606914782,0,"Zaire","Recrudescence"
"P","C",0.00163602613976235,3,"Zaire","Reinfection/Error"
"Q","C",5.52984474620882,0,"Zaire","Recrudescence"
"R","C",9.18118844082525,0,"Zaire","Recrudescence"
"S","C",2.1672175931387,2.66,"Zaire","Recrudescence"
"T","C",0.183478305571342,13.31,"Zaire","Reinfection/Error"
"U","C",10.015841934558,0,"Zaire","Recrudescence"
"V","C",11.3087129175126,0,"Zaire","Recrudescence"
"W","C",1.53785519217801e-06,6,"Zaire","Reinfection/Error"
"X","C",0.190037588034893,2.87,"Zaire","Reinfection/Error"
"Y","C",4.59059422041263,0,"Zaire","Recrudescence"
"Z","C",4.89527397909281,0,"Zaire","Recrudescence"
"A1","C",0.00122701960937448,3,"Zaire","Reinfection/Error"
"B1","C",8.47494317678201,0,"Zaire","Recrudescence"
"C1","C",1.2927431573618e-18,21,"Zaire","Reinfection/Error"
"D1","C",0.529653631766506,2.08,"Zaire","Reinfection/Error"
"E1","C",3.23772860347977e-14,15,"Zaire","Reinfection/Error"
"F1","C",9.18118844082525,0,"Zaire","Recrudescence"
"G1","C",0.00286304574338777,3,"Zaire","Reinfection/Error"
"H1","C",3.41919208160111,0,"Zaire","Recrudescence"
"I1","C",1.99375375749292,0,"Zaire","Recrudescence"
"J1","C",0.00286304574338777,3,"Zaire","Reinfection/Error"
"K1","C",0.00137713711403702,3,"Zaire","Reinfection/Error"
"L1","C",5.41544626681302,12.95,"Zaire","Recrudescence"
"A","D",7.03128040857338,0,"Zaire","Recrudescence"
"B","D",4.64050294977945e-48,57,"Zaire","Reinfection/Error"
"C","D",0.219883152171573,2.46,"Zaire","Reinfection/Error"
"D","D",0.667590760414237,7.87,"Zaire","Reinfection/Error"
"E","D",8.41170944232434,0,"Zaire","Recrudescence"
"F","D",0.292468596553222,5.05,"Zaire","Reinfection/Error"
"G","D",0.61345807847782,5.56,"Zaire","Reinfection/Error"
"H","D",3.37533516018333,0,"Zaire","Recrudescence"
"I","D",9.74226613583533e-27,30,"Zaire","Reinfection/Error"
"J","D",0.428839206240586,2.29,"Zaire","Reinfection/Error"
"K","D",2.53150137172496,0,"Zaire","Recrudescence"
"L","D",1.39322289328676e-09,9,"Zaire","Reinfection/Error"
"M","D",1.77443764750697,0,"Zaire","Recrudescence"
"N","D",4.19307764313412,0,"Zaire","Recrudescence"
"O","D",2.64253512845722,0,"Zaire","Recrudescence"
"P","D",1.03017269624488e-40,48,"Zaire","Reinfection/Error"
"Q","D",2.59530885969236,0,"Zaire","Recrudescence"
"R","D",24.2948370659598,0,"Zaire","Recrudescence"
"S","D",1.51368009212189,0,"Zaire","Recrudescence"
"T","D",0.00631931744405684,3,"Zaire","Reinfection/Error"
"U","D",60.7370924298469,0,"Zaire","Recrudescence"
"V","D",2.38672695683768,0,"Zaire","Recrudescence"
"W","D",4.40554654252234e-16,18,"Zaire","Reinfection/Error"
"X","D",0.000789172865333596,3,"Zaire","Reinfection/Error"
"Y","D",1.65621024374393e-26,30,"Zaire","Reinfection/Error"
"Z","D",3.37428293264388,0,"Zaire","Recrudescence"
"A1","D",0.00118375929794663,3,"Zaire","Reinfection/Error"
"B1","D",24.2948370659598,0,"Zaire","Recrudescence"
"C1","D",6.60831979957562e-16,18,"Zaire","Reinfection/Error"
"D1","D",2.23243385161208,0,"Zaire","Recrudescence"
"E1","D",8.5519932061436e-19,21,"Zaire","Reinfection/Error"
"F1","D",7.14554032653087,0,"Zaire","Recrudescence"
"G1","D",8.56752798314944e-14,15,"Zaire","Reinfection/Error"
"H1","D",3.18492726130588,0,"Zaire","Recrudescence"
"I1","D",2.27723537318618,0,"Zaire","Recrudescence"
"J1","D",2.09454485408247e-06,6,"Zaire","Reinfection/Error"
