"Sample.ID","Marker","Mean_LR","Mean_Distance","Site","Interpretation"
"M","F",2.46582164241465,0,"Zaire","Recrudescence"
"N","F",1.33962722350195,0,"Zaire","Recrudescence"
"O","F",2.24604763010663,0,"Zaire","Recrudescence"
"P","F",1.83955821596006e-09,9,"Zaire","Reinfection/Error"
"Q","F",1.33984836099232,0,"Zaire","Recrudescence"
"R","F",1.78590756725716,0,"Zaire","Recrudescence"
"S","F",1.32438065223228,0,"Zaire","Recrudescence"
"T","F",3.8197168232504e-09,9,"Zaire","Reinfection/Error"
"U","F",3.5718151338369,0,"Zaire","Recrudescence"
"V","F",0.820694139129434,0,"Zaire","Reinfection/Error"
"W","F",0.00111382858341382,3,"Zaire","Reinfection/Error"
"X","F",0.15586404237975,2.21,"Zaire","Reinfection/Error"
"Y","F",1.67783475882917,0,"Zaire","Recrudescence"
"Z","F",1.27308043016596,0,"Zaire","Recrudescence"
"A1","F",1.66732844714703,0,"Zaire","Recrudescence"
"B1","F",51.7913191754278,0,"Zaire","Recrudescence"
"C1","F",1.78590756725716,0,"Zaire","Recrudescence"
"D1","F",0.516917842309624,1.36,"Zaire","Reinfection/Error"
"E1","F",0.000556914291812533,3,"Zaire","Reinfection/Error"
"F1","F",3.5718151338369,0,"Zaire","Recrudescence"
"G1","F",1.83955821596006e-09,9,"Zaire","Reinfection/Error"
"H1","F",1.26403940881617,0,"Zaire","Recrudescence"
"I1","F",2.15505315462585,0,"Zaire","Recrudescence"
"J1","F",1.78590756725716,0,"Zaire","Recrudescence"
"K1","F",0.905445832178419,0,"Zaire","Reinfection/Error"
"L1","F",1.12246974199815,0,"Zaire","Recrudescence"
"A","G",4.93127105688693,0,"Zaire","Recrudescence"
"B","G",1.47851768681665e-21,24,"Zaire","Reinfection/Error"
"C","G",0.84666547731304,0,"Zaire","Reinfection/Error"
"D","G",8.6019026282252e-26,30,"Zaire","Reinfection/Error"
"E","G",1.23605600830286e-14,15,"Zaire","Reinfection/Error"
"F","G",1.80697903486304,0,"Zaire","Recrudescence"
"G","G",1.93629447824276,0,"Zaire","Recrudescence"
"H","G",0.683738280573159,1.56,"Zaire","Reinfection/Error"
"I","G",1.58921477319292e-14,15,"Zaire","Reinfection/Error"
"J","G",0.380964890629294,10.51,"Zaire","Reinfection/Error"
"K","G",2.47416641790224,0,"Zaire","Recrudescence"
"L","G",2.47416641864613,0,"Zaire","Recrudescence"
"M","G",3.2168122873012,0,"Zaire","Recrudescence"
"N","G",28.4889537351664,0,"Zaire","Recrudescence"
"O","G",2.44014006197553,0,"Zaire","Recrudescence"
"P","G",0.00135684572877364,3,"Zaire","Reinfection/Error"
"Q","G",8.26415276615764,0,"Zaire","Recrudescence"
"R","G",7.42249925369747,0,"Zaire","Recrudescence"
"S","G",0.469783850591117,4.39,"Zaire","Reinfection/Error"
"T","G",0.000703312741478039,3,"Zaire","Reinfection/Error"
"U","G",4.50651740542612,0,"Zaire","Recrudescence"
"V","G",1.30284265267184,0,"Zaire","Recrudescence"
"W","G",7.42249925369747,0,"Zaire","Recrudescence"
"X","G",3.24772476270588,0,"Zaire","Recrudescence"
"Y","G",0.457739575447385,14.62,"Zaire","Reinfection/Error"
"Z","G",4.35996499432957,0,"Zaire","Recrudescence"
"A1","G",2.1755601279138,0,"Zaire","Recrudescence"
"B1","G",4.35112025358668,0,"Zaire","Recrudescence"
"C1","G",2.47211186875395e-14,15,"Zaire","Reinfection/Error"
"D1","G",0.612079393889292,1.72,"Zaire","Reinfection/Error"
"E1","G",0.00231461918362361,3,"Zaire","Reinfection/Error"
"F1","G",7.42249925369747,0,"Zaire","Recrudescence"
"G1","G",4.50651740542612,0,"Zaire","Recrudescence"
"H1","G",8.41479150583904,0,"Zaire","Recrudescence"
"I1","G",0.478690729297321,0.84,"Zaire","Reinfection/Error"
"J1","G",1.27542720636615e-06,6,"Zaire","Reinfection/Error"
"K1","G",5.82947445680667e-10,9,"Zaire","Reinfection/Error"
"L1","G",1.48449985150589,0,"Zaire","Recrudescence"
